id,m,n,k,dtype,trans_a,trans_b,max_cores
m_medium_n_medium_k_large_bf16_nn_cap12,1536,768,12288,bf16,0,0,12
m_medium_n_large_k_small_bf16_nn_cap16,1536,3072,384,bf16,0,0,16
m_large_n_small_k_large_bf16_nn_cap12,6144,160,12288,bf16,0,0,12
m_large_n_medium_k_small_bf16_nn_cap16,6144,768,384,bf16,0,0,16
m_large_n_large_k_medium_bf16_nn_cap20,6144,3072,3072,bf16,0,0,20
m_small_n_medium_k_large_bf16_nn_cap8,192,768,12288,bf16,0,0,8
m_medium_n_large_k_medium_bf16_nn_cap16,1536,3072,3072,bf16,0,0,16
m_large_n_small_k_small_bf16_nn_cap12,6144,160,384,bf16,0,0,12
m_small_n_large_k_medium_bf16_nt_cap8,192,3072,3072,bf16,0,1,8
m_medium_n_small_k_large_bf16_nt_cap12,1536,160,12288,bf16,0,1,12
m_large_n_medium_k_small_bf16_tn_cap16,6144,768,384,bf16,1,0,16
m_medium_n_large_k_large_bf16_tn_cap20,1536,3072,12288,bf16,1,0,20
m_small_n_medium_k_small_bf16_tt_cap4,192,768,384,bf16,1,1,4
m_medium_n_small_k_medium_bf16_tt_cap8,1536,160,3072,bf16,1,1,8
m_large_n_small_k_large_bf16_tt_cap16,6144,160,12288,bf16,1,1,16
m_large_n_large_k_medium_bf16_tt_cap20,6144,3072,3072,bf16,1,1,20
m_small_n_small_k_small_fp32_nn_cap4,192,160,384,fp32,0,0,4
m_small_n_medium_k_medium_fp32_nt_cap4,192,768,3072,fp32,0,1,4
m_medium_n_small_k_medium_fp32_tn_cap8,1536,160,3072,fp32,1,0,8
m_medium_n_medium_k_small_fp32_tt_cap12,1536,768,384,fp32,1,1,12
m_medium_n_large_k_medium_fp32_nn_cap16,1536,3072,3072,fp32,0,0,16
m_large_n_small_k_small_fp32_nt_cap12,6144,160,384,fp32,0,1,12
m_large_n_medium_k_large_fp32_tn_cap20,6144,768,12288,fp32,1,0,20
m_large_n_large_k_medium_fp32_tt_cap20,6144,3072,3072,fp32,1,1,20
m_tail784_n_medium_k_medium_fp16_nn_cap8,784,768,3072,fp16,0,0,8
m_medium_n_tail784_k_medium_fp16_nn_cap8,1536,784,3072,fp16,0,0,8
m_tail1552_n_tail784_k3088_fp16_nn_cap12,1552,784,3088,fp16,0,0,12
m_tail3088_n320_k6160_fp16_nn_cap16,3088,320,6160,fp16,0,0,16
m320_n_tail3056_k6160_fp16_nn_cap16,320,3056,6160,fp16,0,0,16
m_tail3088_n_tail3056_k6160_fp16_nn_cap20,3088,3056,6160,fp16,0,0,20
m96_n128_k18432_fp16_nn_cap4,96,128,18432,fp16,0,0,4
m128_n96_k24576_fp16_nn_cap8,128,96,24576,fp16,0,0,8
m384_n64_k32768_fp16_nn_cap12,384,64,32768,fp16,0,0,12
m64_n384_k24576_fp16_nn_cap8,64,384,24576,fp16,0,0,8
m192_n192_k49152_fp16_nn_cap16,192,192,49152,fp16,0,0,16
m8192_n320_k1536_fp16_nn_cap20,8192,320,1536,fp16,0,0,20
m320_n8192_k1536_fp16_nn_cap20,320,8192,1536,fp16,0,0,20
m3072_n96_k12288_fp16_nn_cap16,3072,96,12288,fp16,0,0,16
m96_n3072_k12288_fp16_nn_cap16,96,3072,12288,fp16,0,0,16
m1024_n1024_k4096_fp16_nn_cap1,1024,1024,4096,fp16,0,0,1
m1024_n1056_k4096_fp16_nn_cap2,1024,1056,4096,fp16,0,0,2
m2048_n1024_k6144_fp16_nn_cap4,2048,1024,6144,fp16,0,0,4
m2064_n1024_k6144_fp16_nn_cap8,2064,1024,6144,fp16,0,0,8
m2048_n1056_k6160_fp16_nn_cap12,2048,1056,6160,fp16,0,0,12
m2112_n1120_k6192_fp16_nn_cap20,2112,1120,6192,fp16,0,0,20
